id,"accession","source_link","study_title","organism","date_last_update","number_of_samples","study_category","summary","curated","pL_apt","gene_study","disease_study","drug_study"
5415,"GSE54619","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE54619","RNA-seq analysis of the transcriptomes of Piwi-deficient iPSCs","Mus musculus","2/3/14","8","RNA-Seq","  genome wide RNA-seq analysis of the transcriptomes of iPSCs that are derived from Miwi(-/-) Mili(-/-) and Miwi2(-/-) triple-knockout (TKO) mouse embryonic fibroblast																																																																																																					",NULL,NULL,NULL,NULL,NULL
5423,"GSE53459","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE53459","Transcriptome analysis of 3 WT mouse lines and 3 NTD mutants with the BAF155^msp3 allele","Mus musculus","1/31/14","6","RNA-Seq","  BAF155 as a component of a chromatin remodeling complex is thought to be involved in the regulation of gene expression. Baf155 knockdown in ES cells results in misregulation of hundreds of genes (Ho et al. 2009). The Baf155msp3 allele presents a unique case for gene expression analysis wherein the BAF complex appears to be intact in contrast to disruption of the BAF complex when BAF155 function is lost (Chen and Archer 2005; Sohn et al. 2007). To examine gene expression in the Baf155msp3 mutant at the time of neural tube closure we performed RNA-Seq and compared gene expression levels between homozygous wildtype and homozygous mutant embryos. After extensive analysis of the RNA-Seq data comparing all 3 mutants to all 3 WT replicates 78 genes were identified as being upregulated on average in the mutant samples while 22 genes were downregulated. To facilitate an understanding of global gene expression differences Ingenuity Pathway Analysis (IPA) was used to assign functional categories to the up- and down-regulated genes in the mutants. The most significant molecular and cellular functions of these genes were: 1. cellular movement (1.46E-04&gt;p&gt;4.12E-02) 2. cell death and survival (2.69E-04&gt;p&gt;4.12E-02) and 3. cell growth and proliferation (2.69E-04&gt;p&gt;3.41E-02). Many neuronal genes were significantly misregulated as well. Overall the RNA-Seq analysis revealed that surprisingly few genes showed altered expression in Baf155 mutant neural tissue given the broad epigenetic role of the BAF complex but included genes involved in neural development and cell survival. Moreover gene expression changes between individual mutants were variable even though the NTD was consistently observed. This suggests that inconsistent gene regulation contributes to failed neural tube closure.																																																																																								",NULL,NULL,NULL,NULL,NULL
5481,"GSE50856","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE50856","Technical Variations in Low-Input RNA-seq Methodologies","Mus musculus","1/13/14","52","RNA-Seq","  Transcriptomics data obtained from limiting amounts of mRNA is often noisy providing primarily qualitative changes in transcript expressions. So far technical variations arising out of the library preparation protocols have not been adequately characterized at reduced levels of mRNA. Here we generated sequencing libraries from limiting amounts of mRNA using three amplification-based methods viz. Smart-seq DP-seq and CEL-seq and demonstrated significant technical variations in these libraries. Reduction in mRNA levels led to inefficient amplification of the majority of low to moderately expressed transcripts. Furthermore stochasticity in primer hybridization and/or enzyme incorporation was magnified during the amplification step resulting in significant distortions in fold changes of the transcripts. Consequently the majority of the differentially expressed transcripts identified were either high-expressed and/or exhibited high fold changes. High technical variations which were sequencing depth independent ultimately masked subtle biological differences mandating the development of improved amplification-based strategies for quantitative transcriptomics from limiting amounts of mRNA.																																																																																													",NULL,NULL,NULL,NULL,NULL
5518,"GSE49669","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE49669","The Histone H3 Lysine 9 Methyltransferases G9a and GLP Regulate Polycomb Repressive Complex 2-Mediated Gene Silencing [RNA-Seq]","Mus musculus","1/3/14","6","RNA-Seq","  G9a/GLP and Polycomb Repressive Complex 2 (PRC2) are two major epigenetic silencing machineries which in particular methylate histone H3 on lysines 9 and 27 (H3K9 and H3K27) respectively. Although evidence of a crosstalk between H3K9 and H3K27 methylations has started to emerge their actual interplay remains elusive. Here we show that PRC2 and G9a/GLP interact physically and functionally. Moreover combining different genome-wide approaches we demonstrate that Ezh2 and G9a/GLP share an important number of common genomic targets encoding developmental and neuronal regulators. Furthermore we show that G9a enzymatic activity modulates PRC2 genomic recruitment to a subset of its target genes. Taken together our findings demonstrate an unanticipated interplay between two main histone lysine methylation mechanisms which cooperate to maintain silencing of a subset of developmental genes.																																																																																													",NULL,NULL,NULL,NULL,NULL
5630,"GSE48965","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE48965","Cohesin is a key determinant of interphase chromosome domain architecture (RNA-seq)","Mus musculus","12/11/13","8","RNA-Seq","  To ensure proper gene regulation within constrained nuclear space chromosomes facilitate access to transcribed regions while compactly packaging all other information. Recent studies revealed that chromosomes are organized into megabase-scale domains that demarcate active and inactive genetic elements suggesting that compartmentalization is important for genome function. Here we show that very specific long-range interactions are anchored by cohesin/CTCF sites but not cohesin-only or CTCF-only sites to form a hierarchy of chromosomal loops. These loops demarcate topological domains and form intricate internal structures within them. Post-mitotic nuclei deficient for functional cohesin exhibit global architectural changes associated with loss of cohesin/CTCF contacts and relaxation of topological domains. Transcriptional analysis shows that this cohesin-dependent perturbation of domain organization leads to widespread gene deregulation of both cohesin-bound and non-bound genes. Our data thereby support a role for cohesin in the global organization of domain structure and suggest that domains function to stabilize the transcriptional programs within them.																																																																																																		",NULL,NULL,NULL,NULL,NULL
5663,"GSE49047","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE49047","Overexpression of Dimethylarginine Dimethylaminohydrolase 1 Attenuates Airway Inflammation in a Mouse Model of Asthma","Mus musculus","12/3/13","8","RNA-Seq","  Levels of asymmetric dimethylarginine (ADMA) an endogenous inhibitor of nitric oxide synthase are increased in lung sputum exhaled breath condensate and plasma samples from asthma patients. ADMA is metabolized primarily by dimethylarginine dimethylaminohydrolase 1 (DDAH1) and DDAH2. We determined the effect of DDAH1 overexpression on development of allergic inflammation in a mouse model of asthma. The expression of DDAH1 and DDAH2 in mouse lungs was determined by RT-quantitative PCR (qPCR). ADMA levels in bronchoalveolar lavage fluid (BALF) and serum samples were determined by mass spectrometry. Wild type and DDAH1-transgenic mice were intratracheally challenged with PBS or house dust mite (HDM). Airway inflammation was assessed by bronchoalveolar lavage (BAL) total and differential cell counts. The levels of IgE and IgG1 in BALF and serum samples were determined by ELISA. Gene expression in lungs was determined by RNA-Seq and RT-qPCR. Our data showed that the expression of DDAH1 and DDAH2 was decreased in the lungs of mice following HDM exposure which correlated with increased ADMA levels in BALF and serum. Transgenic overexpression of DDAH1 resulted in decreased BAL total cell and eosinophil numbers following HDM exposure. Total IgE levels in BALF and serum were decreased in HDM-exposed DDAH1-transgenic mice compared to HDM-exposed wild type mice. RNA-Seq results showed downregulation of genes in the inducible nitric oxide synthase (iNOS) signaling pathway in PBS-treated DDAH1-transgenic mice versus PBS-treated wild type mice and downregulation of genes in IL-13/FOXA2 signaling pathway in HDM-treated DDAH1-transgenic mice versus HDM-treated wild type mice. Our findings suggest that decreased expression of DDAH1 and DDAH2 in the lungs may contribute to allergic asthma and overexpression of DDAH1 attenuates allergen-induced airway inflammation through modulation of Th2 responses.																																																																																																		",NULL,NULL,NULL,NULL,NULL
5746,"GSE51685","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE51685","Targeted degradation of sense and antisense C9orf72 RNA foci as therapy for amyotrophic lateral sclerosis and frontotemporal dementia (strand specific RNA-seq)","Mus musculus","11/12/13","9","RNA-Seq","  Purpose: The purpose of this experiment is to identify expression changes after ASO-dependent depletion of mouse C9orf72 in the spinal cord of wild-type C57Bl/6 female mice. Methods: Strand specific RNA-seq was performed using RNAs extracted from spinal cord of C57Bl/6 mice two weeks after intracerebroventricular stereotactic injection of saline (n=3) a control ASO (n=3) or an ASO targeting mouse C9orf72 (n=3). C9orf72 RNA levels were reduced to approximately 30% of control levels in spinal cords from mice treated with the C9orf72 ASO. Results: Statistical comparison of RPKM values between RNAs from C9orf72 and control ASO treated animals or C9orf72 and saline treated samples revealed that only 12 genes were consistently upregulated (defined by P&lt;0.05 adjusted for multiple testing) and 12 genes including C9orf72 were downregulated (defined by P&lt;0.05 adjusted for multiple testing). Conclusions: Only few RNA expression changes were identified in the spinal cord following reduction of C9orf72.																																																																																																						",NULL,NULL,NULL,NULL,NULL
5773,"GSE51735","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE51735","RNA-seq transcriptome profiling of motor neurons (MNs) and surrounding white matter glia (WM) microdissected from pre-symptomatic mouse model of spinal muscular atrophy (SMA)","Mus musculus","11/5/13","8","RNA-Seq","  We report tramscriptome perturbations in MNs and WM of SMA mouse prior to first morphological and biochemical synaptic defects																																																																																																						",NULL,NULL,NULL,NULL,NULL
5802,"GSE46316","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE46316","Transcription-dependent positioning of Structural Maintenance of Chromosome complexes across the genome: RNA-Seq","Mus musculus","10/28/13","6","RNA-Seq","  The Structural Maintenance of Chromosomes (SMC) complexes regulate the chromosome structures essential for proper genome regulation and cell viability. In mammals the coordinated actions of the SMC complexes condensin I condensin II and cohesin regulate dynamic chromosome structures throughout the cell cycle but it is not clear how these complexes are positioned across the genome. We report here that condensin I condensin II and cohesin occupy active euchromatic regions of the embryonic stem cell genome but not heterochromatic regions. Like cohesin we find that condensin II is deposited at active genes by the SMC loading factor Nipbl. The recruitment of Condensin II to active genes is dependent on their transcriptional activation. Subsequent transcriptional elongation by RNA polymerase II distributes condensin II across gene bodies. During mitosis condensin I occupies the same set of active genes occupied by condensin II during interphase. Thus SMC complexes are positioned in the genome by transcription-dependent processes indicating that condensin-dependent condensation mechanisms are preferentially utilized in euchromatic regions.																																																																																														",NULL,NULL,NULL,NULL,NULL
5822,"GSE43893","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE43893","RNA sequencing of SHP -/- knockout mouse transcriptome","Mus musculus","10/22/13","6","RNA-Seq","  Goal of this study is to identify annotated and non-annotated genes transcriptionally regulated by small heterodime partner (SHP Nrob2) expression.																																																																																																						",NULL,NULL,NULL,NULL,NULL
5856,"GSE48764","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE48764","RNA-seq transcriptome analysis of Nestin-GFP-peri and -GFP-retic bone marrow stromal cells","Mus musculus","10/10/13","6","RNA-Seq","  Cell cycle quiescence is a critical feature contributing to haematopoietic stem cell (HSC) maintenance. Although various candidate stromal cells have been identified as potential HSC niches the spatial localization of quiescent HSC in the bone marrow (BM) remains unclear. Here using a novel approach that combines whole-mount confocal immunofluorescence imaging technique and computational modelling to analyse significant tridimensional associations among vascular structures stromal cells and HSCs we show that quiescent HSCs associate specifically with small arterioles that are preferentially found in endosteal BM. These arterioles are ensheathed exclusively by rare Nestin-GFP-peri/NG2+ pericytes distinct from sinusoid-associated Nestin-GFP-retic/LepR+ cells. The present RNA-seq study sought to obtain a comprehensive understanding of the differences between the two distinct HSC cellular niches.																																																																																																		",NULL,NULL,NULL,NULL,NULL
5948,"GSE32190","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE32190","Selective Functions of Individual Zinc Fingers Within the DNA-Binding Domain of Ikaros (RNA-seq: Thymocytes)","Mus musculus","9/8/13","7","RNA-Seq","  The C2H2 zinc finger is the most prevalent DNA-binding motif in the mammalian proteome with DNA-binding domains usually containing more tandem fingers than are needed for stable sequence-specific DNA recognition. To examine the reason for the frequent presence of multiple zinc fingers we generated mice lacking finger 1 or finger 4 of the 4-finger DNA-binding domain of Ikaros a critical regulator of lymphopoiesis and leukemogenesis. Each mutant strain exhibited a specific subset of the phenotypes observed with Ikaros null mice. Of particular relevance fingers 1 and 4 contributed to distinct stages of B- and T-cell development and finger 4 was selectively required for tumor suppression in thymocytes and in a new model of BCR-ABL+ acute lymphoblastic leukemia. These results combined with transcriptome profiling (this GEO submission: RNA-Seg of whole thymus from wt and the two ZnF mutants) reveal that different subsets of fingers within multi-finger transcription factors can regulate distinct target genes and biological functions and they demonstrate that selective mutagenesis can facilitate efforts to elucidate the functions and mechanisms of action of this prevalent class of factors.																																																																																																",NULL,NULL,"1",NULL,NULL
5949,"GSE38842","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE38842","Selective Functions of Individual Zinc Fingers Within the DNA-Binding Domain of Ikaros (RNA-seq: sorted proB cell Hardy Fractions B and C+C)","Mus musculus","9/8/13","6","RNA-Seq","  The C2H2 zinc finger is the most prevalent DNA-binding motif in the mammalian proteome with DNA-binding domains usually containing more tandem fingers than are needed for stable sequence-specific DNA recognition. To examine the reason for the frequent presence of multiple zinc fingers we generated mice lacking finger 1 or finger 4 of the 4-finger DNA-binding domain of Ikaros a critical regulator of lymphopoiesis and leukemogenesis. Each mutant strain exhibited a specific subset of the phenotypes observed with Ikaros null mice. Of particular relevance fingers 1 and 4 contributed to distinct stages of B- and T-cell development and finger 4 was selectively required for tumor suppression in thymocytes and in a new model of BCR-ABL+ acute lymphoblastic leukemia. These results combined with transcriptome profiling (this GEO submission: RNA-Seg of whole thymus from wt and the two ZnF mutants) reveal that different subsets of fingers within multi-finger transcription factors can regulate distinct target genes and biological functions and they demonstrate that selective mutagenesis can facilitate efforts to elucidate the functions and mechanisms of action of this prevalent class of factors.																																																																																																",NULL,NULL,NULL,NULL,NULL
5950,"GSE38841","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE38841","Selective Functions of Individual Zinc Fingers Within the DNA-Binding Domain of Ikaros (RNA-seq: BCR-ABL transformed in vitro cell culture cells)","Mus musculus","9/8/13","6","RNA-Seq","  The C2H2 zinc finger is the most prevalent DNA-binding motif in the mammalian proteome with DNA-binding domains usually containing more tandem fingers than are needed for stable sequence-specific DNA recognition. To examine the reason for the frequent presence of multiple zinc fingers we generated mice lacking finger 1 or finger 4 of the 4-finger DNA-binding domain of Ikaros a critical regulator of lymphopoiesis and leukemogenesis. Each mutant strain exhibited a specific subset of the phenotypes observed with Ikaros null mice. Of particular relevance fingers 1 and 4 contributed to distinct stages of B- and T-cell development and finger 4 was selectively required for tumor suppression in thymocytes and in a new model of BCR-ABL+ acute lymphoblastic leukemia. These results combined with transcriptome profiling (this GEO submission: RNA-Seg of whole thymus from wt and the two ZnF mutants) reveal that different subsets of fingers within multi-finger transcription factors can regulate distinct target genes and biological functions and they demonstrate that selective mutagenesis can facilitate efforts to elucidate the functions and mechanisms of action of this prevalent class of factors.																																																																																																",NULL,NULL,NULL,NULL,NULL
5951,"GSE47496","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE47496","Selective Functions of Individual Zinc Fingers Within the DNA-Binding Domain of Ikaros (RNA-seq: sorted DP thymocytes)","Mus musculus","9/8/13","6","RNA-Seq","  The C2H2 zinc finger is the most prevalent DNA-binding motif in the mammalian proteome with DNA-binding domains usually containing more tandem fingers than are needed for stable sequence-specific DNA recognition. To examine the reason for the frequent presence of multiple zinc fingers we generated mice lacking finger 1 or finger 4 of the 4-finger DNA-binding domain of Ikaros a critical regulator of lymphopoiesis and leukemogenesis. Each mutant strain exhibited a specific subset of the phenotypes observed with Ikaros null mice. Of particular relevance fingers 1 and 4 contributed to distinct stages of B- and T-cell development and finger 4 was selectively required for tumor suppression in thymocytes and in a new model of BCR-ABL+ acute lymphoblastic leukemia. These results combined with transcriptome profiling (this GEO submission: RNA-Seg of whole thymus from wt and the two ZnF mutants) reveal that different subsets of fingers within multi-finger transcription factors can regulate distinct target genes and biological functions and they demonstrate that selective mutagenesis can facilitate efforts to elucidate the functions and mechanisms of action of this prevalent class of factors.																																																																																																",NULL,NULL,NULL,NULL,NULL
5952,"GSE44674","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE44674","Gaucher Disease: Transcriptome Analyses Using Microarray or mRNA Sequencing in a Mouse Model Treated with velaglucerase alfa or imiglucerase [RNA-Seq]","Mus musculus","9/7/13","55","RNA-Seq","  The comparative whole genome transcriptome effects of two similar pharmaceuticals imig or vela on a Gaucher disease mouse model 9V/null were evaluated by two commonly used platforms mRNA-Seq and microarray. Also statistical methods DESeq and edgeR for mRNA-Seq and Mixed Model ANOVA for microarray were compared for differential gene expression detection. The biological pathways were similar between two platforms. Cell growth and proliferation cell cycle heme metabolism and mitochondrial dysfunction were the most altered functions associated with the disease process. Although the two biopharmaceuticals have a very similar structure and function imig- and vela- treatment in the mice differentially affected disease-specific pathways indicating the action of the two drugs on the disease process in the visceral tissues of Gaucher mouse model differ significantly at the molecular level. This study provides a comprehensive comparison between the two platforms (mRNA-Seq and microarray) for gene expression analysis and addresses the contribution of the different methods involved in the analysis of such data. The results also provide insights into the differential molecular effects of two similar biopharmaceuticals for Gaucher disease treatment																																																																																											",NULL,NULL,NULL,NULL,NULL
5990,"GSE46104","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE46104"," Global transcriptome profiling of Oct4/Klf4/Sox2 (3Factor, 3F) + IL6 iPS clones derived from mouse embryonic fibroblasts.","Mus musculus","8/28/13","8","RNA-Seq","  We used heterokaryon cell fusion based reprogramming and identified the cytokine IL6 as a potential regulator of reprogramming to pluripotency. We generated iPS clones using the four reprogramming factors (4F) Oct4 Klf4 Sox2 and c-Myc. In addition iPS clones were generated using only three factors (3F: Oct4 Klf4 amd Sox2) with the addition of the cytokine IL6 to reprogramming culture conditions. Global RNA-Seq of the 3F + IL6 derived iPS clones was done for comparison with 4F-derived iPS clones mouse embryonic stem cells and mouse embryonic fibroblasts.																																																																																																",NULL,NULL,NULL,NULL,NULL
6002,"GSE45376","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE45376","RNA-Seq characterization of spinal cord injury transcriptome in acute/subacute phases: a resource for understanding the pathology at the systems level","Mus musculus","8/22/13","8","RNA-Seq","  Purpose: Spinal cord injury (SCI) is a devastating neurological disease without effective treatment. To generate a comprehensive view of the mechanisms involved in SCI pathology we applied RNA-sequencing (RNA-seq) technology to characterize the temporal changes in global gene expression after contusive SCI in mice. Method Part1: A total of 27 female C57BI/6J mice (10-16 weeks of age; 20-25g; The Jackson Laboratory Bar Harbor ME) were used with 9 mice in each of following groups: shame control 2 and 7 days after SCI. The surgical procedure for SCI were described previously [PMID:23289019]. Briefly after anesthetization with a mixed solution of ketamine (80 mg/kg ip) and xylazine (10 mg/kg ip) mice received a dorsal laminectomy at the 9th thoracic vertebral (T9) level to expose the spinal cord and then a moderate T9 contusive injury using an Infinite Horizons impactor (PrecisionSystems and Instrumentation) at 60 kdyn with the spinestabilized using steel stabilizers inserted under the transverse processes one vertebra above and below the injury [PMID:19196178] . The shame control mice received only a dorsal laminectomy without contusive injury. Afterwards the wound was sutured in layers bacitracin ointment(Qualitest Pharmaceuticals	Huntsville AL) was applied tothe wound area 0.1mL of a 20 mg/ml stock of gentamicin(ButlerSchein Dublin OH) was injected subcutaneously and the animals recovered on a water-circulating heating pad. Then mice received analgesic agent buprenorphin(0.05 mg/kg SQ; Reckitt Benckise Hull England)twice a day for two days. Bladders were manually expressed until automatic voiding returned spontaneously which generally was within 7 days. At 2 or 7 days after SCI the mice were anesthetized again with ketamine and xylazine and perfused briefly with normal physical saline. The injured spinal cords were then dissected and three 0.5 mm pieces of spinal cord were cut in the injured epicenter. All spinal cords were immediately frozen in liquid nitrogen and processed for RNA isolation. The spinal cords from three mice were combined into one biological replicate for RNA extraction. Three biological replicates were used. Method Part2: RNA-Seq was performed on the polyadenylated fraction of RNA isolated from tissue samples of acute (2D) and subacute phase (7D) and normal tissues (control denoted as CTR hereafter). Three biological replicates were used for each phase.150-300 ng total RNAs were used for each sequencing library. RNA samples were polyA selected and paired-end sequencing libraries were constructed using TruSeq RNA Sample Prep Kit as described in the TruSeq RNA Sample Preparation V2 Guide (Illumina).The samples were then sequenced using the Illumina HiSeq sequencer. More than 30 million 100bp paired-end reads were generated from each biological replicate. Method Part3: Read mapping and Transcriptome construction were done by using optimized pipeline which integrate Tophat followed by Cufflinks. Result: We sequenced tissue samples from acute and subacute phases (2 days and 7 days after injury) and systematically characterized the transcriptomes with the goal of identifying pathways and genes critical in SCI pathology. The top enriched functional categories include \\x89\\xdb\\xf7inflammation response\\x89\\xdb\\xaa \\x89\\xdb\\xf7neurological disease\\x89\\xdb\\xaa \\x89\\xdb\\xf7cell death and survival\\x89\\xdb\\xaa and \\x89\\xdb\\xf7nervous system development\\x89\\xdb\\xaa. The top enriched pathways include LXR/RXR Activation and Atherosclerosis Signaling etc. Furthermore we developed a systems-based analysis framework in order to identify key determinants in the global gene networks of the acute and sub-acute phases. Some candidate genes that we identified have been shown to play important roles in SCI which demonstrates the validity of our approach. There are also many genes whose functions in SCI have not been well studied and can be further investigated by future experiments. We have also incorporated pharmacogenomic information into our analyses. Among the genes identified the ones with existing drug information can be readily tested in SCI animal models. Conclusion: in this study we have described an example of how global gene profiling can be translated to screening genes of interest and generating new hypotheses. Additionally the RNA-seq enables splicing isoform identification and the estimation of expression levels thus providing useful information for increasing the specificity of drug design and reducing potential side effect. In Summary																																																																									",NULL,NULL,NULL,NULL,NULL
6123,"GSE48808","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE48808","The metabolic niche of a prominent sulfate-reducing human gut bacterium [3]","Mus musculus","7/12/13","8","RNA-Seq","  Sulfate-reducing bacteria (SRB) colonize the guts of ~50% of humans. We used genome-wide transposon mutagenesis and insertion-site sequencing (INSeq) RNA-Seq plus mass spectrometry to characterize genetic and environmental factors that impact the niche of Desulfovibrio piger the most common SRB in a surveyed cohort of healthy USA adults. Gnotobiotic mice were colonized with an assemblage of sequenced human gut bacterial species with or without D. piger and fed diets with different levels and types of carbohydrates and sulfur sources. Diet was a major determinant of functions expressed by this artificial 9-member community and of the genes that impact D. piger fitness; the latter includes high- and low-affinity systems for utilizing ammonia a limiting resource for D. piger in mice consuming a polysaccharide-rich diet. While genes involved in hydrogen consumption and sulfate reduction are necessary for its colonization varying dietary free sulfate levels did not significantly alter levels of D. piger which can obtain sulfate from the host in part via cross-feeding mediated by Bacteroides-encoded sulfatases.\\xe5\\xcaChondroitin sulfate a common dietary supplement increased D. piger and H2S levels without compromising gut barrier integrity. A chondroitin sulfate-supplemented diet together with D. piger impacted the assemblage\\x89\\xdb\\xaas substrate utilization preferences allowing consumption of more reduced carbon sources and increasing the abundance of the H2-producing Actinobacterium Collinsella aerofaciens. Our findings provide genetic and metabolic details of how this H2-consuming SRB shapes the responses of a microbiota to diet ingredients and a framework for examining how individuals lacking D. piger differ from those that harbor it.																																																																																											",NULL,NULL,NULL,NULL,NULL
6180,"GSE43717","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE43717","Cellular source and mechanisms of high transcriptome complexity in the mammalian testis (RNA-Seq cells)","Mus musculus","6/20/13","5","RNA-Seq","  Understanding\\xe5\\xca the\\xe5\\xca extent\\xe5\\xca of\\xe5\\xca genomic\\xe5\\xca transcription\\xe5\\xca and\\xe5\\xca its\\xe5\\xca functional\\xe5\\xca relevance\\xe5\\xca is\\xe5\\xca a\\xe5\\xca central\\xe5\\xca goal\\xe5\\xca in\\xe5\\xca genomics\\xe5\\xcaresearch.\\xe5\\xcaHowever	\\xe5\\xcadetailed\\xe5\\xcagenome\\x89\\xdb\\x90wide\\xe5\\xcainvestigations\\xe5\\xcaof\\xe5\\xcatranscriptome\\xe5\\xcacomplexities\\xe5\\xcain\\xe5\\xcamajor\\xe5\\xcamammalian\\xe5\\xcaorgans\\xe5\\xca and\\xe5\\xca their\\xe5\\xca underlying\\xe5\\xca cellular\\xe5\\xca sources	\\xe5\\xca transcriptional\\xe5\\xca mechanisms	\\xe5\\xca and\\xe5\\xca functional\\xe5\\xca relevance\\xe5\\xca have\\xe5\\xcabeen\\xe5\\xca scarce.\\xe5\\xca Here\\xe5\\xca we\\xe5\\xca first\\xe5\\xca show	\\xe5\\xca using\\xe5\\xca extensive\\xe5\\xca RNA\\x89\\xdb\\x90seq\\xe5\\xca data	\\xe5\\xca that\\xe5\\xca transcription\\xe5\\xca of\\xe5\\xca both\\xe5\\xca functional\\xe5\\xca and\\xe5\\xcanonfunctional\\xe5\\xca genomic\\xe5\\xca elements\\xe5\\xca is\\xe5\\xca substantially\\xe5\\xca more\\xe5\\xca widespread\\xe5\\xca in\\xe5\\xca the\\xe5\\xca testis\\xe5\\xca than\\xe5\\xca in\\xe5\\xca other\\xe5\\xca organs\\xe5\\xca across\\xe5\\xcarepresentative\\xe5\\xcamammals.\\xe5\\xcaBy\\xe5\\xcascrutinizing\\xe5\\xcathe\\xe5\\xcatranscriptomes\\xe5\\xcaof\\xe5\\xcaall\\xe5\\xcamain\\xe5\\xcatesticular\\xe5\\xcacell\\xe5\\xcatypes\\xe5\\xcain\\xe5\\xcathe\\xe5\\xcamouse	\\xe5\\xcawe\\xe5\\xcathen\\xe5\\xca reveal\\xe5\\xca that\\xe5\\xcameiotic\\xe5\\xca spermatocytes\\xe5\\xca and\\xe5\\xca especially\\xe5\\xca post\\x89\\xdb\\x90meiotic\\xe5\\xca round\\xe5\\xca spermatids\\xe5\\xca have\\xe5\\xca remarkably\\xe5\\xcadiverse\\xe5\\xca transcriptomes	\\xe5\\xca which\\xe5\\xca explains\\xe5\\xca the\\xe5\\xca high\\xe5\\xca transcriptome\\xe5\\xca complexity\\xe5\\xca of\\xe5\\xca the\\xe5\\xca testis\\xe5\\xca as\\xe5\\xca a\\xe5\\xca whole.\\xe5\\xca The\\xe5\\xcawidespread\\xe5\\xca transcriptional\\xe5\\xca activity\\xe5\\xca in\\xe5\\xca spermatocytes\\xe5\\xca and\\xe5\\xca spermatids\\xe5\\xca encompasses\\xe5\\xca protein\\x89\\xdb\\x90coding\\xe5\\xca genes\\xe5\\xca and\\xe5\\xcalong\\xe5\\xca noncoding\\xe5\\xca RNA\\xe5\\xca genes\\xe5\\xca but\\xe5\\xca also\\xe5\\xca poorly\\xe5\\xca conserved\\xe5\\xca intergenic\\xe5\\xca sequences	\\xe5\\xca suggesting\\xe5\\xca that\\xe5\\xca much\\xe5\\xca of\\xe5\\xca it\\xe5\\xca is\\xe5\\xca not\\xe5\\xcaof\\xe5\\xca immediate\\xe5\\xca functional\\xe5\\xca relevance.\\xe5\\xca Rather	\\xe5\\xca our\\xe5\\xca analyses\\xe5\\xca of\\xe5\\xca genome\\x89\\xdb\\x90wide\\xe5\\xca epigenetic\\xe5\\xca data\\xe5\\xca show\\xe5\\xca that\\xe5\\xca this\\xe5\\xcaprevalent\\xe5\\xca transcription	\\xe5\\xca which\\xe5\\xca apparently\\xe5\\xca promoted\\xe5\\xca the\\xe5\\xca birth\\xe5\\xca of\\xe5\\xca new\\xe5\\xca genes\\xe5\\xca during\\xe5\\xca evolution	\\xe5\\xca results\\xe5\\xca from\\xe5\\xca a\\xe5\\xcahighly\\xe5\\xca permissive\\xe5\\xca chromatin\\xe5\\xca state\\xe5\\xca during\\xe5\\xca and\\xe5\\xca after\\xe5\\xca meiosis\\xe5\\xca that\\xe5\\xca may\\xe5\\xca ultimately\\xe5\\xca facilitate\\xe5\\xca the\\xe5\\xca replacement\\xe5\\xca of\\xe5\\xcahistones\\xe5\\xcaby\\xe5\\xcaprotamines\\xe5\\xcaduring\\xe5\\xcalate\\xe5\\xcaspermatogenesis. To study the cellular source and mechanisms of high transcriptome complexity in the mammalian testis we generated strand-specific deep coverage RNA\\x89\\xdb\\x90Seq data for purified sertoli cells spermatogonia spermatocytes spermatids and spermatozoa as well as for brain liver and the whole testis from the mouse. We prepared 8 sequencing libraries for the polyadenylated RNA fraction of each sample and sequenced each library in 3 lanes of the Illumina Genome Analyser IIx platform yielding a total of &gt;60 millions strand-specific reads of 76 base pairs per sample. In addition we generated ChIP-Seq data for the H3K4me2 modification as well as RRBS data for brain liver testis spermatocytes and spermatids. RNA-seq ChIP-seq and RRBS data were generated from the same individual or pool of individuals in the case of purified cells.																																																																																",NULL,NULL,NULL,NULL,NULL
