id,"accession","source_link","study_title","organism","date_last_update","number_of_samples","study_category"
7194,"GSE22376","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE22376","Phyloepigenetic comparison of apes","Mus musculus; Homo s","2011-09-09","11",""
7195,"GSE31951","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE31951","Genome-wide activity-dependent MeCP2 phosphorylation regulates nervous system development and function [ChIP-Seq]","Homo sapiens","2011-09-08","9",""
7196,"GSE22917","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE22917","SAGE-Seq gene expression profiles of Hs578T, MCF7, and SUM159PT cells treated with STAT3 or non-targeting siRNAs, DMSO, or CXCR2, PTGIS, HAS1, PFKFB3, JAK, or NQO1 inhibitor","Homo sapiens","2011-09-08","27","rna_seq"
7197,"GSE29073","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE29073","Cellular reprogramming by the conjoint action of ERalpha, FOXA1 and GATA3 to a ligand-inducible growth state","Homo sapiens; Pan tr","2011-09-05","4",""
7198,"GSE30895","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE30895","Effect of splicing on histone H3 K36 methylation","Mus musculus","2011-09-05","4",""
7199,"GSE31843","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE31843","Effect of wheel running exercise on gene expression in skeletal muscles of mice","Homo sapiens","2011-09-03","8",""
7200,"GSE31839","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE31839","Effect of wheel running exercise and myostatin depletion on gene expression in triceps brachii muscles of mice","Homo sapiens","2011-09-03","12",""
7201,"GSE31867","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE31867","Genome-wide maps of TCF7L1 binding during early adipogenesis","Homo sapiens","2011-09-02","1",""
7202,"GSE31271","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE31271","Control of Embryonic Stem Cell Lineage Commitment by Core Promoter Factor, TAF3 (RNA-Seq data)","Mus musculus","2011-09-02","16","rna_seq "
7203,"GSE31270","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE31270","Control of Embryonic Stem Cell Lineage Commitment by Core Promoter Factor, TAF3 (ChIP-Seq data)","Mus musculus","2011-09-02","7",""
7204,"GSE31239","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE31239","Genome-wide maps of histone modifications unwind in vivo chromatin states of the hair follicle lineage [ChIP-Seq]","Mus musculus","2011-09-02","12",""
7205,"GSE30858","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE30858","Establishment of Enhancer Repertoires that Orchestrate the Myeloid and Lymphoid Cell Fates (ChIP-Seq dataset)","Mus musculus","2011-09-01","12",""
7206,"GSE30340","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE30340","Sperm methylation profiles reveal features of epigenetic inheritance and evolution in primates","Mus musculus","2011-09-01","4",""
7207,"GSE29098","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE29098","ChimeraScan: A tool for identifying chimeric transcription in sequencing data","Mus musculus","2011-09-01","3",""
7208,"GSE31755","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE31755","Histone Modifications by ChIP-seq from ENCODE/Stanford/Yale/Davis/Harvard","Mus musculus","2011-08-31","32",""
7209,"GSE31477","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE31477","ENCODE Transcription Factor Binding Sites by ChIP-seq from Stanford/Yale/USC/Harvard","Pan troglodytes; Hom","2011-08-30","426",""
7210,"GSE30554","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE30554","Integrative Annotation of Human Large Intergenic Non-Coding RNAs Reveals Global Properties and Specific Subclasses","Homo sapiens","2011-08-28","9","rna_seq"
7211,"GSE20898","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE20898","Genome-wide Analyses of Transcription Factor GATA3-Mediated Gene Regulation in Distinct T Cell Types","Homo sapiens","2011-08-26","53",""
7212,"GSE27893","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE27893","Genome-wide maps of chromatin state in early erythroid precursors versus later, more differentiated erythroblasts.","Homo sapiens","2011-08-24","18",""
7213,"GSE27243","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE27243","A Transcriptomic Atlas of Mouse Neocortical Layers","Homo sapiens","2011-08-24","19",""
7214,"GSE21614","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE21614","Cell-Type-Specific TGF-beta Signaling is Targeted to Genes that Control Cell Identity: ChIP-Seq","Mus musculus","2011-08-24","21","ChIP-Seq"
7215,"GSE30765","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE30765","Transcriptional programs in transient embryonic zones of the cerebral cortex defined by high-resolution mRNA-sequencing","Mus musculus","2011-08-22","12","rna_seq"
7216,"GSE29779","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE29779","Integrative regulatory mapping indicates that the RNA-binding protein HuR (ELAVL1) couples pre-mRNA processing and mRNA stability [sequence data]","Mus musculus","2011-08-19","1","rna_seq"
7217,"GSE31037","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE31037","Small RNA sequencing in normal and psoriatic skin","Homo sapiens; Mus mu","2011-08-19","67","rna_seq "
7218,"GSE24113","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE24113","Regulation of Mammalian Cell Growth and Survival By an RNA Polymerase II-Pausing Factor (ChIP-seq)","Mus musculus","2011-08-17","2","rna_seq"
7219,"GSE27437","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE27437","Genome-wide map of vitamin D receptor (VDR) binding in THP-1 cells","Homo sapiens","2011-08-17","3",""
7220,"GSE26711","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE26711","Msx1 ChIP-Seq from C2C12 murine myoblast cells expressing Flag-Msx1 protein","Homo sapiens","2011-08-17","2",""
7221,"GSE26512","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE26512","Transcriptional activity regulates alternative cleavage and polyadenylation","Mus musculus","2011-08-15","1","rna_seq"
7222,"GSE22657","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE22657","High-throughput semi-quantitative analysis of insertional mutations in heterogeneous tumors","Homo sapiens","2011-08-12","453",""
7223,"GSE31363","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE31363","Transcription Factor Binding Sites by Epitope-Tag ChIP-seq from ENCODE/University of Chicago","Mus musculus","2011-08-12","12",""
7224,"GSE29531","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE29531","Genetic Framework for GATA Factor Function in Vascular Biology","Mus musculus","2011-08-11","5",""
7225,"GSE27404","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE27404","Deep sequencing and functional annotation reveal miRNAs implicated in the cell senescence phenotype","Mus musculus","2011-08-09","2","rna_seq"
7226,"GSE31223","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE31223","Gene expression of polyoma middle T antigen induced mammary tumors [RNA_Seq : MOLF x PyMT]","Homo sapiens","2011-08-06","30","MOLF x PyMT] "
7227,"GSE23415","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE23415","Reprogramming of Human Fibroblasts into Hematopoietic Progenitors by Fusion With Human Fetal Liver CD34+ Cells (RNA-Seq)","Homo sapiens","2011-08-04","1","rna_seq"
7228,"GSE26248","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE26248","Comparative Analysis of RNA-Seq Alignment Algorithms and the RNA-Seq Unified Mapper (RUM).","Homo sapiens","2011-08-03","4","rna_seq "
7229,"GSE31125","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE31125","Integrated epigenome profiling of repressive histone modifications, DNA methylation and gene expression in normal and malignant urothelial cells [ChIP-Seq data]","Mus musculus","2011-08-03","6",""
7230,"GSE25183","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE25183","Transcriptome sequencing across a prostate cancer cohort identifies PCAT-1, an unannotated lincRNA implicated in disease progression (RNA-Seq data)","Homo sapiens","2011-08-02","58","rna_seq"
7231,"GSE28911","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE28911","Replication initiation sites in cancer cells","Mus musculus","2011-08-02","7",""
7232,"GSE26826","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE26826","Targeted bisulfite sequencing by solution hybrid selection and massively parallel sequencing","Homo sapiens","2011-08-01","8",""
7233,"GSE29116","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE29116","Small RNA profiles from human genic regions suggest biogenic mechanisms and identify new Argonaute-associated species","Homo sapiens","2011-07-31","10","rna_seq"
7234,"GSE30518","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE30518","Opposing roles of E2A and Id3 that orchestrate and enforce the naive T cell fate","Homo sapiens","2011-07-31","5",""
7235,"GSE31039","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE31039","Histone Modifications by ChIP-seq from ENCODE/LICR","Homo sapiens","2011-07-30","133",""
7236,"GSE26439","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE26439","The tumor antigen PRAME is a substrate recognition subunit of a Cul2-based ubiquitin ligase and is associated with active NFY promoters","Homo sapiens","2011-07-29","5",""
7237,"GSE30902","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE30902","Splicing enhances recruitment of methyltransferase HYPB/Setd2 and methylation of histone H3 lysine 36","Mus musculus","2011-07-25","4",""
7238,"GSE30811","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE30811","SuperSAGE evidence for CD14++CD16+ monocytes as a third monocyte subset","Mus musculus","2011-07-24","3",""
7239,"GSE29613","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE29613","Sequencing of microRNA in spermatogonial stem cell enriched cell populations.","Homo sapiens","2011-07-20","5","rna_seq"
7240,"GSE30772","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE30772","The human mitochondrial transcriptome","Homo sapiens","2011-07-20","7",""
7241,"GSE30690","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE30690","Expression analysis in mouse female PGK12.1 ES cells by RNA-seq","Homo sapiens","2011-07-19","1","rna_seq"
7242,"GSE30267","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE30267","Super Elongation Complex (SEC) and global genomic analyses in murine embryonic stem (ES) cells and in human cells in response to activation signals.","Mus musculus","2011-07-19","19",""
7243,"GSE30786","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE30786","Determination of transcript abundance before and after serum induction in human HCT-116 colon cancer cell line.","Homo sapiens","2011-07-19","4",""
7244,"GSE17403","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE17403","Multiple platform assessment of the EGF dependent transcriptome by microarray and deep tag sequencing analysis","Mus musculus","2011-07-18","60",""
7245,"GSE27634","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE27634","SMAD1/5 binding regions of human umbilical vein endothelial cells (HUVECs) treated with BMP.","Homo sapiens; Mus mu","2011-07-16","2",""
7246,"GSE30709","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE30709","Genome-Wide Analysis of Host-Chromosome Binding Sites for Epstein-Barr Virus Nuclear Antigen 1 (EBNA1)","Homo sapiens","2011-07-16","2",""
7247,"GSE28848","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE28848","SMAD1/5 binding regions of human pulmonary arterial smooth muscle cells (PASMCs) treated with BMP","Homo sapiens","2011-07-16","2",""
7248,"GSE30290","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE30290","An EMT-driven alternative splicing program occurs in human breast cancer and modulates cellular phenotype.","Homo sapiens","2011-07-15","2","rna_seq"
7249,"GSE30619","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE30619","[E-MTAB-612] GENCODE PCR-Seq Batch I","Homo sapiens","2011-07-14","7",""
7250,"GSE30617","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE30617","[E-MTAB-599] Mouse Transcriptome","Homo sapiens","2011-07-14","36",""
7251,"GSE30612","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE30612","[E-MTAB-533] GENCODE Targeted Sequencing Batch III","Homo sapiens","2011-07-14","2",""
7252,"GSE30611","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE30611","[E-MTAB-513] Illumina Human Body Map 2.0 Project","Homo sapiens","2011-07-14","48",""
7253,"GSE30604","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE30604","[E-MTAB-442] ChIP-seq of mouse liver with no antibody to provide input sequences for ChIP experiments on C57BJ/6J mice","Mus musculus","2011-07-14","2",""
7254,"GSE30567","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE30567","ENCODE Cold Spring Harbor Labs Long RNA-seq (hg19)","Homo sapiens; Caenor","2011-07-13","99","rna_seq"
7255,"GSE30573","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE30573","Transcriptomic analysis of autistic brain reveals convergent molecular pathology [high-throughput sequence data]","Homo sapiens","2011-07-12","6",""
7256,"GSE30400","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE30400","RNA-Seq in GM12878 (ENCODE Project)","Mus musculus","2011-07-09","1","rna_seq"
7257,"GSE30399","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE30399","Genome wide mapping for TF binding sites for Pol II, JunD, cFos, Max &amp; cMyc in GM12878 (ENCODE Project)","Homo sapiens","2011-07-09","5",""
7258,"GSE29600","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE29600","Genome-wide Analysis Reveals Conserved and Divergent Features of Notch1/RBPJ Binding in Human and Murine T Lymphoblastic Leukemia Cells","Homo sapiens","2011-07-06","16",""
7259,"GSE30142","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE30142","Genome-wide maps of epigenetic features in G1E model and in mouse primary erythroblasts.","Homo sapiens","2011-07-05","33",""
7260,"GSE25715","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE25715","miRNA profiling during adipogenic differentiation of adipose-derived stem cells","Homo sapiens","2011-07-04","12","rna_seq"
7261,"GSE26501","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE26501","Regulation of nucleosome landscape and transcription factor binding at enhancers by BRG1","Homo sapiens; Mus mu","2011-07-01","20",""
7262,"GSE24518","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE24518","Co-activation of GR and NF-kB leads to extensive rearrangemnet of their binding sites and target genes","Mus musculus","2011-07-01","20",""
7263,"GSE25842","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE25842","Deep-transcriptome and ribonome sequencing redefines the molecular networks of pluripotency and the extracellular space in human Embryonic Stem cells (part 2)","Homo sapiens","2011-07-01","17",""
7264,"GSE29498","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE29498","Epstein-Barr Virus Exploits Intrinsic B-Lymphocyte Transcription Programs to Achieve Immortal Cell Growth","Homo sapiens","2011-07-01","6",""
7265,"GSE30253","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE30253","Analysis of DNA methylation in a three-generation family reveals widespread genetic influence on epigenetic regulation","Homo sapiens","2011-07-01","8",""
7266,"GSE30298","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE30298","Identification and analysis of pancreatic islet specific enhancers","Homo sapiens","2011-06-30","6",""
7267,"GSE29943","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE29943","Unstressed HeLa cells and ELAVL1/HuR knock down conditions: polyA RNA-Seq, small RNA-Seq, and PAR-CLIP","Homo sapiens","2011-06-30","9","rna_seq"
7268,"GSE30226","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE30226","Open chromatin defined by DNaseI and FAIRE identifies regulatory elements that shape cell-type identity [ChIP_seq].","Homo sapiens","2011-06-29","33",""
7269,"GSE30225","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE30225","Open chromatin defined by DNaseI and FAIRE identifies regulatory elements that shape cell-type identity [FAIRE_seq]","Mus musculus","2011-06-29","16",""
7270,"GSE30224","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE30224","Open chromatin defined by DNaseI and FAIRE identifies regulatory elements that shape cell-type identity [DNase_seq].","Homo sapiens","2011-06-29","3",""
7271,"GSE30286","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE30286","Cell-type based analysis of microRNA profiles in the mouse brain","Homo sapiens","2011-06-29","19","rna_seq "
7272,"GSE30263","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE30263","CTCF Binding Sites by ChIP-seq from ENCODE/University of Washington","Homo sapiens","2011-06-29","174",""
7273,"GSE30179","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE30179","Application of Microdroplet PCR for Large-Scale Targeted Bisulfite Sequencing","Homo sapiens","2011-06-25","2",""
7274,"GSE30198","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE30198","Digital gene expression and global mapping of polyadenylation sites with PolyA-Seq","Mus musculus","2011-06-25","26",""
7275,"GSE29509","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE29509","The inactive X chromosome adopts a unique three-dimensional conformation that is dependent on Xist RNA.","Homo sapiens","2011-06-24","28","rna_seq"
7276,"GSE30173","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE30173","Integrating 5 Hydroxymethylcytosine into the Epigenetic Landscape of Human Embryonic Stem Cells","Homo sapiens","2011-06-24","2",""
7277,"GSE28247","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE28247","CTCF-Mediated Functional Chromatin Interactome in Pluripotent Cells","Homo sapiens; Canis ","2011-06-23","8",""
7278,"GSE21950","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE21950","Genome-wide binding pattern of PU.1 in normal erythroid progenitors and erythroleukemia cells","Mus musculus","2011-06-23","11",""
7279,"GSE25930","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE25930","Large-scale methylation domains mark a functional subset of neuronally expressed genes","Homo sapiens","2011-06-23","2",""
7280,"GSE27827","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE27827","Genomic prevalence of heterochromatic H3K9me2 and transcription do not discriminate pluripotent from terminally differentiated cells (ChIP-seq)","Mus musculus","2011-06-21","9",""
7281,"GSE27843","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE27843","Genomic prevalence of heterochromatic H3K9me2 and transcription do not discriminate pluripotent from terminally differentiated cells (RNA-seq)","Mus musculus","2011-06-21","6","rna_seq"
7282,"GSE29690","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE29690","Profiling of differential allelic expression in mouse placenta from reciprocal crosses","Homo sapiens","2011-06-15","2",""
7283,"GSE27627","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE27627","5-hydroxymethylcytosine is associated with enhancers and gene bodies in human embryonic stem cells.","Mus musculus","2011-06-13","4",""
7284,"GSE24822","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE24822","Small non-coding RNA expression in murine germ cells","Mus musculus","2011-06-10","3","rna_seq"
7285,"GSE25602","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE25602","RNA-Seq analysis of microRNA expression profiles in mouse primary CFU-E late erythroid progenitors and Ter119+ mature erythroblasts","Mus musculus","2011-06-09","2","rna_seq"
7286,"GSE29752","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE29752","RNA-Seq of mouse eye and retina tissues from wild type and Nrl transcription factor knockout mice","Homo sapiens","2011-06-07","4","rna_seq "
7287,"GSE26257","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE26257","ChIP-seq for CTCF and Rad21 in Rag1_/_ pro-B cells","Mus musculus","2011-06-07","3",""
7288,"GSE22145","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE22145","miRNAs high throughput sequencing profiling of basals cells and columnar cells","Mus musculus","2011-06-07","6","rna_seq"
7289,"GSE22144","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE22144","miRNAs high throughput sequencing profiling of regenerating human airway epithelial cells","Mus musculus","2011-06-07","12","rna_seq"
7290,"GSE28884","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE28884","MicroRNA sequence and expression analysis in breast tumors by deep sequencing","Mus musculus","2011-06-07","406","rna_seq"
7291,"GSE23525","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE23525","Alternative transcription exceeds alternative splicing in generating the transcriptome diversity of cerebellar development","Homo sapiens","2011-06-07","20","rna_seq "
7292,"GSE28162","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE28162","L3MBTL2 protein acts in concert with PcG protein mediated monoubiquitination of H2A to establish a repressive chromatin structure [ChIP-Seq data].","Homo sapiens","2011-06-07","9",""
7293,"GSE29692","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE29692","DNaseI Hypersensitivity by Digital DNaseI from ENCODE/University of Washington","Homo sapiens","2011-06-03","208",""
7294,"GSE23852","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE23852","Activator protein-2_ is a critical determinant of estrogen receptor interactome formation and gene transcription in breast cancer [ChIP-Seq]","Mus musculus","2011-06-03","4",""
7295,"GSE29611","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE29611","Histone Modifications by ChIP-seq from ENCODE/Broad Institute","Homo sapiens","2011-06-02","296",""
7296,"GSE29006","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE29006","mRNA-seq of Human Airway Epithelial Cells","Homo sapiens","2011-06-01","8","rna_seq"
7297,"GSE27369","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE27369","Widespread Expression of piRNA-like Molecules in Somatic Tissues","Homo sapiens","2011-06-01","8","rna_seq"
7298,"GSE24674","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE24674","Genome-wide analysis of GATA1, GATA2, RUNX1, FLI1 and SCL binding in primary human megakaryocytes","Homo sapiens","2011-06-01","6",""
7299,"GSE29251","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE29251","Genome-wide analysis distinguishes hyperglycemia regulated epigenetic signatures of primary vascular cells (ChIP-seq)","Homo sapiens","2011-06-01","13",""
7300,"GSE24326","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE24326","Genome-wide profiling of H3K56 acetylation and transcription factor binding sites in human adipocytes","Mus musculus; Macaca","2011-05-31","5",""
7301,"GSE29580","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE29580","RNA-seq of two paired normal and cancer tissues in two stage III colorectal cancer patients","Homo sapiens","2011-05-28","4","rna_seq"
7302,"GSE29087","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE29087","Characterization of the single-cell (ES and MEF) transcriptional landscape by highly multiplex RNA-Seq","Homo sapiens","2011-05-25","96","rna_seq"
7303,"GSE27929","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE27929","Functional analysis of Kap1 genomic recruitment","Homo sapiens","2011-05-24","17",""
7304,"GSE25688","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE25688","Cell Type-Specific DNA Methylation at Intragenic CpG Islands in the Immune System (MAP-Seq and ChIP-Seq data)","Homo sapiens","2011-05-23","10",""
7305,"GSE29422","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE29422","Chromatin and Transcriptional Signatures for Nodal Signaling During Endoderm Formation in hESCs","Mus musculus","2011-05-21","18",""
7306,"GSE29413","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE29413","DNA methylation and SETDB1/H3K9me3 regulate predominantly distinct sets of genes, retroelements and chimaeric transcripts in mouse ES cells","Homo sapiens","2011-05-21","8",""
7307,"GSE29362","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE29362","Transcription Initiation Platforms and GTF recruitment at tissue-specific enhancers and promoters","Mus musculus","2011-05-20","20",""
7308,"GSE25777","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE25777","Genome-wide maps of CTCF in R1/E embryonic stem cells","Homo sapiens","2011-05-19","2",""
7309,"GSE29393","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE29393","H3K4me3 modification analysis comparing Lsh WT and Lsh-/- MEFs","Mus musculus","2011-05-19","2",""
7310,"GSE24029","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE24029","Genome-wide maps of Rad21 in R1/E embryonic stem cells and R1/E derived Embryoid bodies","Mus musculus","2011-05-19","4",""
7311,"GSE28859","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE28859","A quantitative analysis of CLIP methods for identifying binding sites of RNA-binding proteins (CLIP)","Mus musculus","2011-05-15","13","rna_seq"
7312,"GSE28864","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE28864","A quantitative analysis of CLIP methods for identifying binding sites of RNA-binding proteins (mRNA-seq)","Mus musculus","2011-05-15","10","rna_seq "
7313,"GSE27823","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE27823","Reprogramming Transcriptional Responses through Functionally-Distinct Classes of Enhancers in Prostate Cancer Cells [ChIP-Seq, Gro-Seq]","Mus musculus","2011-05-15","30",""
7314,"GSE29261","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE29261","Cocaine-regulated expression of striatal microRNAs","Homo sapiens","2011-05-13","4","rna_seq"
7315,"GSE29209","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE29209","RNA sequencing of mouse DCs","Homo sapiens","2011-05-12","1","rna_seq"
7316,"GSE27618","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE27618","DNA methylation analysis of prostate cancer cell lines and tissues using Next Generation Sequencing","Homo sapiens","2011-05-09","9",""
7317,"GSE29158","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE29158","RNA-sequence analysis of human B-cells","Mus musculus","2011-05-09","20","rna_seq"
7318,"GSE29155","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE29155","RNA-Seq anlalysis of prostate cancer cell lines using Next Generation Sequencing","Mus musculus","2011-05-09","11","rna_seq"
7319,"GSE25308","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE25308","Genome-wide remodeling of the epigenetic landscape during myogenic differentiation","Homo sapiens","2011-05-08","22",""
7320,"GSE27463","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE27463","Global Analysis of the Immediate Transcriptional Effects of Estrogen Signaling Reveals a Rapid, Extensive, and Transient Response","Homo sapiens","2011-05-06","8",""
